Best parameters: {'learning_rate': 1000, 'max_depth': 10, 'n_estimators': 2}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 16, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 1}
0.203 (+/-0.192) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 2}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 4}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 6}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 8}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 22, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 1}
0.203 (+/-0.192) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 2}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 4}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 6}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 8}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 28, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 1}
0.203 (+/-0.192) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 2}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 4}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 6}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 8}
0.240 (+/-0.247) for {'learning_rate': 10, 'max_depth': 36, 'n_estimators': 10}
0.307 (+/-0.106) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 1}
0.306 (+/-0.142) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 2}
0.277 (+/-0.154) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 4}
0.277 (+/-0.154) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 6}
0.277 (+/-0.156) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 8}
0.277 (+/-0.154) for {'learning_rate': 100, 'max_depth': 6, 'n_estimators': 10}
0.320 (+/-0.143) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 1}
0.293 (+/-0.108) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 2}
0.291 (+/-0.109) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 4}
0.291 (+/-0.109) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 6}
0.291 (+/-0.109) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 8}
0.291 (+/-0.109) for {'learning_rate': 100, 'max_depth': 10, 'n_estimators': 10}
0.301 (+/-0.179) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 1}
0.287 (+/-0.155) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 2}
0.287 (+/-0.155) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 4}
0.287 (+/-0.155) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 6}
0.287 (+/-0.155) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 8}
0.287 (+/-0.155) for {'learning_rate': 100, 'max_depth': 16, 'n_estimators': 10}
0.302 (+/-0.177) for {'learning_rate': 100, 'max_depth': 22, 'n_estimators': 1}
0.288 (+/-0.153) for {'learning_rate': 100, 'max_depth': 22, 'n_estimators': 2}
